,full_text,created_at,retweet_count,favorite_count,retweeted,Month,Weekday,Hour,Sentiment
0,"RT @EddieRispone: 🚨8 HOURS UNTIL THE POLLS CLOSE🚨

1. Go to https://t.co/5gsPBfvdYx.
2. Find your polling information.
3. Get out and vote…",Sat Nov 16 19:16:17 +0000 2019,4914,0,FALSE,11,5,19,Neutral
1,True! https://t.co/ySWZMUnQfd,Sat Nov 16 18:48:46 +0000 2019,8609,26776,FALSE,11,5,18,Neutral
2,RT @LouDobbs: No Quid without a Quo: @KimStrassel on President @realDonaldTrump’s vindication after Morrison’s testimony. #AmericaFirst #MA…,Sat Nov 16 18:46:38 +0000 2019,5285,0,FALSE,11,5,18,Neutral
3,"RT @KimStrassel: Impeachment is meant to be a big deal, but Democrats and the media have accomplished the disturbing feat of turning it int…",Sat Nov 16 18:44:38 +0000 2019,7186,0,FALSE,11,5,18,Positive
4,Congratulations Kimberley. Great book! https://t.co/IFlMf1qIrb,Sat Nov 16 18:44:16 +0000 2019,4911,18772,FALSE,11,5,18,Positive
5,RT @AriFleischer: The most important part of today’s hearing was Amb. Yovanovitch’s statement that she has no evidence that Trump received…,Sat Nov 16 18:42:56 +0000 2019,10534,0,FALSE,11,5,18,Positive
6,RT @AriFleischer: The Qs the press asked Schiff at his post-hearing news conference were friendly.  The Qs the press asked to the Republica…,Sat Nov 16 18:42:21 +0000 2019,4762,0,FALSE,11,5,18,Neutral
7,"RT @realDonaldTrump: LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!",Sat Nov 16 18:39:17 +0000 2019,13385,0,FALSE,11,5,18,Positive
8,"“I mean, come on. The Democrats are doing focus groups to try and figure out what words to use to move the needle. The Democrats know this is political and they’re just trying to drag Trump’s name into the mud!” Lisa Booth @foxandfriends Thank you Lisa!",Sat Nov 16 18:38:10 +0000 2019,12118,41189,FALSE,11,5,18,Positive
9,"“Triggered,” a great book by my son, Don. Now number one on @NYTIMES LIST. Keep it there for a while!",Sat Nov 16 17:57:51 +0000 2019,8249,38700,FALSE,11,5,17,Positive
10,RT @realDonaldTrump: Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get you…,Sat Nov 16 15:49:11 +0000 2019,16722,0,FALSE,11,5,15,Positive
11,"....and Taylor, dismissing everybody involved from the Obama holdover days trying to undermine Trump, getting rid of those people, dismissing them, this is what it looks like. It was never going to be claen, they were never going to sit by idly and just let Trump do this!” Rush L",Sat Nov 16 15:38:36 +0000 2019,10296,38101,FALSE,11,5,15,Positive
12,"“My support for Donald Trump has never been greater than it is right now. It is paramountly obvious watching this, these people have to go. You elected Donald Trump to drain the Swamp, well, dismissing people like Yovanovitch is what that looks like. Dismissing people like Kent..",Sat Nov 16 15:38:34 +0000 2019,13344,47531,FALSE,11,5,15,Positive
13,"Dow hits 28,000 - FIRST TIME EVER, HIGHEST EVER! Gee, Pelosi &amp; Schitt have a good idea, “lets Impeach the President.” If something like that ever happened, it would lead to the biggest FALL in Market History. It’s called a Depression, not a Recession! So much for 401-K’s &amp; Jobs!",Sat Nov 16 15:18:27 +0000 2019,20394,79783,FALSE,11,5,15,Negative
14,"RT @DanScavino: “Army 1st Lt. Clint Lorance, one of two U.S. Army officers granted clemency Friday by POTUS Trump, was released from prison…",Sat Nov 16 13:56:23 +0000 2019,17014,0,FALSE,11,5,13,Positive
15,"LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!",Sat Nov 16 13:51:34 +0000 2019,13385,46421,FALSE,11,5,13,Positive
16,Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get your taxes and auto insurance (highest in Country!) way down. Loves our Military &amp; Vets. Will protect your 2A. Find your polling place below: https://t.co/0rnhb4z3HU,Sat Nov 16 13:08:14 +0000 2019,16722,49004,FALSE,11,5,13,Positive
17,"RT @thehill: AG Bill Barr: ""Immediately after President Trump won election, opponents inaugurated what they call 'The Resistance' and they…",Sat Nov 16 06:02:39 +0000 2019,20073,0,FALSE,11,5,6,Positive
18,RT @marklevinshow: Attorney General Bill Barr slams the constant efforts to undermine the president in a speech to the Federalist Society…,Sat Nov 16 06:02:08 +0000 2019,15314,0,FALSE,11,5,6,Negative
19,#NewHoaxSameSwamp https://t.co/GIg9R9Txe0,Sat Nov 16 02:39:50 +0000 2019,29074,75418,FALSE,11,5,2,Neutral
20,https://t.co/YvlBpfsiTa,Sat Nov 16 00:33:20 +0000 2019,32368,106246,FALSE,11,5,0,Neutral
21,THANK YOU! #MAGA #KAG https://t.co/Pcq7IbehVp,Sat Nov 16 00:16:42 +0000 2019,15085,57024,FALSE,11,5,0,Positive
22,https://t.co/8h6ZmdGlPf https://t.co/shaijXMXli,Fri Nov 15 22:10:52 +0000 2019,17240,59642,FALSE,11,4,22,Neutral
23,"RT @RepLeeZeldin: History is going to be so MASSIVELY unkind towards Pelosi, Schiff and the rest of Congressional Democrats who continue su…",Fri Nov 15 20:40:58 +0000 2019,17625,0,FALSE,11,4,20,Negative
24,"RT @RepMarkMeadows: The Democrats second day impeachment witness, Ambassador Yovanovitch, has no information on any of the relevant questio…",Fri Nov 15 20:40:03 +0000 2019,15945,0,FALSE,11,4,20,Neutral
25,RT @EliseStefanik: Obama’s own State Dept. was so concerned about conflicts of interest from Hunter Biden’s role at Burisma that they raise…,Fri Nov 15 20:39:40 +0000 2019,24708,0,FALSE,11,4,20,Negative
26,"RT @EliseStefanik: The facts are clear, confirmed by our witness, Ambassador Yovanovitch: defensive lethal aid was provided to Ukraine not…",Fri Nov 15 20:39:01 +0000 2019,18310,0,FALSE,11,4,20,Negative
27,RT @SteveScalise: The Dems' star witness was just asked on record if she had any information regarding @realDonaldTrump accepting any bribe…,Fri Nov 15 20:27:08 +0000 2019,22645,0,FALSE,11,4,20,Neutral
28,"RT @GOPLeader: Before Chairman Adam Schiff gets a chance to make up another phone call between Presidents Trump and Zelensky, @DevinNunes j…",Fri Nov 15 20:26:46 +0000 2019,19309,0,FALSE,11,4,20,Positive
29,RT @Jim_Jordan: https://t.co/gjRFvN02xO,Fri Nov 15 20:26:22 +0000 2019,13238,0,FALSE,11,4,20,Neutral
30,RT @DanScavino: “Ukrainian FM Vadym Prystaiko said on Thur that the U.S. Amb did not link financial military assistance to a request for Uk…,Fri Nov 15 20:25:30 +0000 2019,7995,0,FALSE,11,4,20,Neutral
31,"RT @Jim_Jordan: We now have both the April and July calls between President Trump and President Zelensky. Once again, no linkage of any kin…",Fri Nov 15 19:17:50 +0000 2019,26839,0,FALSE,11,4,19,Positive
32,"RT @RepMarkMeadows: Bravo from @RepChrisStewart, who just summarized this whole hearing:

Q: ""Do you have any information regarding POTUS a…",Fri Nov 15 19:16:29 +0000 2019,26417,0,FALSE,11,4,19,Positive
33,"RT @Rep_Watkins: Democrats didn’t like the outcome of the 2016 election, so now they’re trying to impeach @realDonaldTrump 

#KS02 #ksleg h…",Fri Nov 15 19:16:02 +0000 2019,10511,0,FALSE,11,4,19,Neutral
34,"RT @GOPLeader: .@RepStefanik: ""I just want to get it on record. In terms of defensive lethal aid, which you were an advocate for, that was…",Fri Nov 15 19:15:48 +0000 2019,16182,0,FALSE,11,4,19,Negative
35,RT @RepAndyBiggsAZ: .@RepDevinNunes is exactly right: former Ambassador Yovanovitch should not be a witness at an impeachment hearing where…,Fri Nov 15 19:15:18 +0000 2019,10657,0,FALSE,11,4,19,Positive
36,"RT @HouseGOP: Why is Chairman Schiff afraid of @RepStefanik?

Why doesn’t he want Republican members to ask questions?

Why is he conductin…",Fri Nov 15 19:14:46 +0000 2019,11222,0,FALSE,11,4,19,Negative
37,RT @CongressmanHice: Quick reminder → Ambassador Marie Yovanovitch is yet another person who wasn’t present on the July 25th call – and tha…,Fri Nov 15 19:14:39 +0000 2019,8588,0,FALSE,11,4,19,Neutral
38,"RT @RepMarkMeadows: One thing to note:

Notice how, so far, the Democrats have been peppering the witness with questions asking her to spec…",Fri Nov 15 19:14:30 +0000 2019,14260,0,FALSE,11,4,19,Neutral
39,RT @RepDLamborn: This witness has absolutely no relevant information. She can't bring any first-hand knowledge of the events and was recall…,Fri Nov 15 19:14:24 +0000 2019,9077,0,FALSE,11,4,19,Neutral
40,"RT @RepSmucker: No matter how hard the media and the Democrats try to spin the hearings, these are the facts... #ImpeachingHearings #FactsM…",Fri Nov 15 19:14:20 +0000 2019,7008,0,FALSE,11,4,19,Negative
41,....A double standard like never seen before in the history of our Country?,Fri Nov 15 17:13:57 +0000 2019,19963,73987,FALSE,11,4,17,Positive
42,"So they now convict Roger Stone of lying and want to jail him for many years to come. Well, what about Crooked Hillary, Comey, Strzok, Page, McCabe, Brennan, Clapper, Shifty Schiff, Ohr &amp; Nellie, Steele &amp; all of the others, including even Mueller himself? Didn’t they lie?....",Fri Nov 15 17:13:56 +0000 2019,44710,143709,FALSE,11,4,17,Negative
43,"Stock Market up big. New and Historic Record. Job, jobs, jobs!",Fri Nov 15 16:34:35 +0000 2019,20910,105273,FALSE,11,4,16,Neutral
44,"We have vacancies in various departments because we do not want or need as many people as past administrations (and save great cost), and also, the Democrats delay the approval process to levels unprecedented in the history of our Country!",Fri Nov 15 16:21:55 +0000 2019,21353,86478,FALSE,11,4,16,Positive
45,https://t.co/qz1OfL56rg,Fri Nov 15 15:32:18 +0000 2019,9613,28652,FALSE,11,4,15,Neutral
46,https://t.co/86HWwzDlEo,Fri Nov 15 15:32:15 +0000 2019,9338,27955,FALSE,11,4,15,Neutral
47,https://t.co/ObHvebm4ry,Fri Nov 15 15:32:13 +0000 2019,5707,13792,FALSE,11,4,15,Neutral
48,https://t.co/XE7ofTy7Sf,Fri Nov 15 15:27:43 +0000 2019,13029,39709,FALSE,11,4,15,Neutral
49,https://t.co/0zTfpzHCNK,Fri Nov 15 15:18:03 +0000 2019,13726,40467,FALSE,11,4,15,Neutral
50,"Another Record Stock Market, 21 times this year, despite an ongoing, &amp; totally unfounded, Witch Hunt, &amp; a Democrat Party that would love to see a nice, big, juicy recession. In actuality, the potential for the United States is unlimited. We will power through the Do Nothing Dems!",Fri Nov 15 15:17:45 +0000 2019,17556,71295,FALSE,11,4,15,Positive
51,"....They call it “serving at the pleasure of the President.” The U.S. now has a very strong and powerful foreign policy, much different than proceeding administrations. It is called, quite simply, America First! With all of that, however, I have done FAR more for Ukraine than O.",Fri Nov 15 15:01:44 +0000 2019,17293,63794,FALSE,11,4,15,Positive
52,"Everywhere Marie Yovanovitch went turned bad. She started off in Somalia, how did that go? Then fast forward to Ukraine, where the new Ukrainian President spoke unfavorably about her in my second phone call with him. It is a U.S. President’s absolute right to appoint ambassadors.",Fri Nov 15 15:01:40 +0000 2019,31577,117185,FALSE,11,4,15,Positive
53,"......filth pouring into the Pacific Ocean is rapidly becoming an environmental hazard, is getting NOTHING DONE. She is a Do Nothing Democrat as Speaker, and will hopefully not be in that position very long. Approve USMCA, which has been sitting on her desk for months!",Fri Nov 15 13:48:52 +0000 2019,15862,58194,FALSE,11,4,13,Negative
54,"The Impeachment Witch Hunt should be over with the statement made last night by the President and Foreign Minister of Ukraine. Nervous Nancy Pelosi, who should be home cleaning up the dangerous &amp; disgusting Slum she is making of her District in San Francisco, where even the......",Fri Nov 15 13:48:50 +0000 2019,19664,72777,FALSE,11,4,13,Negative
55,"....Ambassador Sondland did not tell us, and certainly did not tell me, about a connection between the assistance and the investigation.” THE FAKE IMPEACHMENT INQUIRY IS NOW DEAD!",Fri Nov 15 04:52:17 +0000 2019,17227,63800,FALSE,11,4,4,Negative
56,"Democrats must apologize to USA: Ukrainian Foreign Minister Vadym Prystaiko said that “United States Ambassador Gordon Sondland did NOT link financial military assistance to a request for Ukraine to open up an investigation into former V.P. Joe Biden &amp; his son, Hunter Biden.....",Fri Nov 15 04:52:16 +0000 2019,22475,80720,FALSE,11,4,4,Neutral
57,"This Saturday, the eyes of history are looking at the people of Louisiana. If you want to defend your values, your jobs, and your freedom, then you need to REPLACE Radical Liberal John Bel Edwards with a true Louisiana Patriot: @EddieRispone! #GeauxVote https://t.co/odAuD5DFPB",Fri Nov 15 03:53:17 +0000 2019,18243,65705,FALSE,11,4,3,Positive
58,RT @DanScavino: https://t.co/tckvBQclps https://t.co/WKwdBxOkSb,Fri Nov 15 02:54:22 +0000 2019,10724,0,FALSE,11,4,2,Neutral
59,"RT @RepDougCollins: Great news for @GAPoultryFed, @chickencouncil, and poultry farmers across the country! Thank you @realDonaldTrump, @Sec…",Fri Nov 15 02:53:49 +0000 2019,6597,0,FALSE,11,4,2,Positive
60,"RT @Jim_Jordan: TODAY the Ukrainian Foreign Minister, Vadym Prystaiko, verified what we already knew:

“I have never seen a direct relation…",Fri Nov 15 02:52:38 +0000 2019,22795,0,FALSE,11,4,2,Neutral
61,"RT @Jim_Jordan: Calls &amp; meetings:

7/25—Call between @POTUS and Zelensky
7/26—Volker &amp; Taylor meet Zelensky
8/27—John Bolton meets Zelensky…",Fri Nov 15 02:51:14 +0000 2019,20509,0,FALSE,11,4,2,Neutral
62,RT @Scavino45: “Adam Schiff is wasting the nation's time with impeachment hearings” https://t.co/DsPD85HNtg,Fri Nov 15 02:50:55 +0000 2019,12262,0,FALSE,11,4,2,Negative
63,Getting ready to land in Louisiana to do Rally with Great Republican @EddieRispone for Governor. He will get your taxes and auto insurance (highest in Country!) way down. Loves our Military &amp; Vets. Will protect your 2nd Amendment. VOTE SATURDAY!,Fri Nov 15 00:28:02 +0000 2019,13509,60083,FALSE,11,4,0,Positive
64,"....We send our deepest condolences to the families and friends of those tragically lost, and we pray for the speedy recovery of the wounded.",Thu Nov 14 23:34:56 +0000 2019,8511,44781,FALSE,11,3,23,Neutral
65,"We continue to monitor the terrible events at Saugus High School in Santa Clarita, California through our ongoing communications with Local, State, and Federal Authorities....",Thu Nov 14 23:34:55 +0000 2019,10372,54673,FALSE,11,3,23,Negative
66,Where’s the Fake Whistleblower?,Thu Nov 14 15:39:25 +0000 2019,30349,150587,FALSE,11,3,15,Negative
67,"....that the House Democrats have done since she’s become Speaker, other than chase Donald Trump.” This Impeachment Hoax is such a bad precedent and sooo bad for our Country!",Thu Nov 14 15:28:28 +0000 2019,10885,45816,FALSE,11,3,15,Negative
68,"....anywhere, so we’ve now had 3 years of the Democrats chasing Donald Trump. Nancy Pelosi’s worried about the American voter looking for someone to blame for that eventually. Look at her own story in the House. What have they done? The average American can’t identify anything...",Thu Nov 14 15:28:18 +0000 2019,10673,43938,FALSE,11,3,15,Negative
69,".@DanHenninger  WSJ: Nancy Pelosi had it right the first time when she did not want to go down the Impeachment path. Make it a voting issue. But no, the Left insisted on raising this to the gravity of a constitutional crisis &amp; Impeachment. The hearings suggested it’s not going...",Thu Nov 14 15:28:15 +0000 2019,13911,55502,FALSE,11,3,15,Neutral
70,“That hearing was about a policy dispute.” Robert Ray. “Regular people watching this cannot conclude that the President of the United States can be impeached.” @Varneyco,Thu Nov 14 14:49:05 +0000 2019,12013,50761,FALSE,11,3,14,Neutral
71,“Neither one of the Democrat star witnesses at the Impeachment hearings could point out an impeachable offense. That’s the result!” @Varneyco  @FoxBusiness,Thu Nov 14 14:37:52 +0000 2019,12568,49035,FALSE,11,3,14,Neutral
72,Walmart announces great numbers. No impact from Tariffs (which are contributing $Billions to our Treasury). Inflation low (do you hear that Powell?)!,Thu Nov 14 14:32:35 +0000 2019,19101,84353,FALSE,11,3,14,Positive
73,"Hit New Stock Market record again yesterday, the 20th time this year, with GREAT potential for the future. USA is where the action is. Companies and jobs are coming back like never before!",Thu Nov 14 13:44:07 +0000 2019,21879,97490,FALSE,11,3,13,Positive
74,".@RepRatcliffe asked the two “star” witnesses, “where is the impeachable event in that call?” Both stared straight ahead with a blank look on their face, remained silent, &amp; were unable to answer the question. That would be the end of a case run by normal people! - but not Shifty!",Thu Nov 14 11:54:17 +0000 2019,24620,88812,FALSE,11,3,11,Neutral
75,RT @RepMarkMeadows: Brilliant job by my colleagues today on the Intel Committee. They clearly highlighted the gaping holes in the Democrats…,Thu Nov 14 11:41:12 +0000 2019,20646,0,FALSE,11,3,11,Positive
76,RT @RepDougCollins: A live look into Ambassador Taylor’s testimony in the Schiff impeachment proceedings → https://t.co/oiiUgkc8UG,Thu Nov 14 11:40:49 +0000 2019,21583,0,FALSE,11,3,11,Neutral
77,"RT @TeamTrump: President @realDonaldTrump: They’re using television lawyers. I’m not surprised to see it, Schiff can't ask his own question…",Thu Nov 14 11:33:06 +0000 2019,8757,0,FALSE,11,3,11,Neutral
78,RT @WhiteHouse: President @realDonaldTrump gave an update on relations with Turkey at the top of his meeting with President Erdogan. https:…,Thu Nov 14 11:29:47 +0000 2019,6973,0,FALSE,11,3,11,Positive
79,"RT @TeamTrump: President @realDonaldTrump on the Democrat's hearing while he was meeting with the leader of Turkey: ""I would much rather fo…",Thu Nov 14 11:28:44 +0000 2019,9133,0,FALSE,11,3,11,Neutral
80,RT @JesseBWatters: This was a hearsay hearing. These witnesses have never met President @realdonaldtrump and they were not on the call. #Fo…,Thu Nov 14 11:27:52 +0000 2019,9411,0,FALSE,11,3,11,Neutral
81,RT @WhiteHouse: President @realDonaldTrump on today's sham hearing: https://t.co/AqaO0JNbCI,Thu Nov 14 11:27:38 +0000 2019,5572,0,FALSE,11,3,11,Negative
82,"RT @JesseBWatters: IF The Ukrainian President was bribed by President @realdonaldtrump, He didn’t know he was being bribed, he didn’t say h…",Thu Nov 14 11:26:55 +0000 2019,12166,0,FALSE,11,3,11,Neutral
83,RT @WhiteHouse: If House Democrats were as committed to helping Americans succeed under President @realDonaldTrump as they are to tearing h…,Thu Nov 14 11:25:20 +0000 2019,7947,0,FALSE,11,3,11,Positive
84,"Wow! Was just told that my son’s book, “Triggered,” is Number One on The New York Times Bestseller List. Congratulations Don!",Thu Nov 14 03:47:12 +0000 2019,26865,163361,FALSE,11,3,3,Positive
85,"RT @Scavino45: After the call - Ambassador Taylor met with Ukrainian President Volodymyr Zelensky the VERY NEXT DAY!

President Zelensky sa…",Thu Nov 14 03:39:06 +0000 2019,9487,0,FALSE,11,3,3,Neutral
86,"RT @Jim_Jordan: Mr. Kent affirmed Ukraine has a long-standing history of corruption. 

And President Trump was deeply skeptical of this cor…",Thu Nov 14 03:38:51 +0000 2019,17950,0,FALSE,11,3,3,Neutral
87,RT @Jim_Jordan: https://t.co/zODJMgmP5F,Thu Nov 14 03:38:35 +0000 2019,13916,0,FALSE,11,3,3,Neutral
88,RT @Scavino45: Moments ago.... https://t.co/XI41TPSHEp https://t.co/u5xlrDRx8p,Thu Nov 14 03:38:13 +0000 2019,5829,0,FALSE,11,3,3,Neutral
89,RT @Scavino45: https://t.co/QqoztunZQk,Thu Nov 14 03:37:56 +0000 2019,7395,0,FALSE,11,3,3,Neutral
90,RT @Scavino45: #ImpeachmentSHAM #SchiffShow https://t.co/DrR2s6vtRc,Thu Nov 14 03:37:43 +0000 2019,4977,0,FALSE,11,3,3,Neutral
91,RT @Scavino45: WOW! SOOO SAD!! Shifty Schiff cuts off @EliseStefanik for wanting to enter the actual transcript of the July 25th call betwe…,Thu Nov 14 03:36:59 +0000 2019,10962,0,FALSE,11,3,3,Neutral
92,"RT @Jim_Jordan: Aid was delayed by just 55 days.

During that time, we verified that President Zelensky was the real deal. https://t.co/TWJ…",Thu Nov 14 03:36:50 +0000 2019,22281,0,FALSE,11,3,3,Negative
93,RT @Scavino45: Great question by @RepRatcliffe. No answer given. #ImpeachmentSham https://t.co/OVMGQGfzwU,Thu Nov 14 03:36:05 +0000 2019,6808,0,FALSE,11,3,3,Positive
94,"RT @Scavino45: .@RepChrisStewart: 

“Welcome to year 4 of the ongoing Impeachment of President @realDonaldTrump...If your Impeachment case…",Thu Nov 14 03:35:56 +0000 2019,7242,0,FALSE,11,3,3,Positive
95,RT @Scavino45: “We’ve got six people having four conversations in one sentence - and you just told me this is where you got your clear unde…,Thu Nov 14 03:35:43 +0000 2019,9807,0,FALSE,11,3,3,Positive
96,RT @Scavino45: “This was an abject failure for the Democrats and for Adam Schiff.” @EliseStefanik https://t.co/LhIa0Q8Mb8,Thu Nov 14 03:35:40 +0000 2019,9234,0,FALSE,11,3,3,Negative
97,Thank you @FranklinGraham. It is a time of “shame” for our Country. The Democrats know what they are doing is wrong! https://t.co/O32ybh04vc,Thu Nov 14 03:32:36 +0000 2019,13908,54401,FALSE,11,3,3,Negative
98,"RT @SteveScalise: ""What I can do here for you today is tell you what I heard from people.""

The Dems' star witness just said he had no firs…",Wed Nov 13 21:04:14 +0000 2019,18739,0,FALSE,11,2,21,Neutral
99,RT @RepMarkMeadows: Listen to @Jim_Jordan review the unbelievable amount of hearsay these allegations are based on. Spread it far and wide.…,Wed Nov 13 21:04:07 +0000 2019,26639,0,FALSE,11,2,21,Negative
100,"RT @GOPoversight: • No first-hand knowledge.
• Never spoke to President Trump.
• Never spoke to Rudy Giuliani.
• Never spoke to Mick Mulvan…",Wed Nov 13 21:03:25 +0000 2019,11897,0,FALSE,11,2,21,Neutral
101,RT @GOPoversight: Days since @RepAdamSchiff learned the identity of the whistleblower: 93 https://t.co/lXmokHZ227,Wed Nov 13 21:03:14 +0000 2019,6028,0,FALSE,11,2,21,Neutral
